,budget,country,cum_ww_gross,director,genre_1,genre_2,genre_3,language,mpaa_rating,ratings_count,release_date,runtime,title,url,usa_gross,user_rating
5424,72000000,USA,408247917,M. Night Shyamalan,Drama,Mystery,Sci-Fi,English,PG-13,304350,2002-08-02,106.0,Signs,https://www.imdb.com/title/tt0286106,227966634.0,6.7
5425,1570000,Ireland,,John Boorman,Fantasy,Sci-Fi,,English,R,17115,1974-02-06,105.0,Zardoz,https://www.imdb.com/title/tt0070948,,5.8
5426,,USA,,Woody Allen,Comedy,Drama,Romance,English,PG-13,29321,2005-04-08,99.0,Melinda and Melinda,https://www.imdb.com/title/tt0378947,3825351.0,6.5
5427,20000000,USA,,"Akiva Schaffer, Jorma Taccone",Comedy,Music,,English,R,43480,2016-06-03,87.0,Popstar: Never Stop Never Stopping,https://www.imdb.com/title/tt3960412,9393835.0,6.7
5428,,France,,Frank Pavich,Documentary,,,English,PG-13,17994,2016-03-16,90.0,Jodorowsky's Dune,https://www.imdb.com/title/tt1935156,646512.0,8.1
5429,20000000,USA,153698625,Simon Wincer,Adventure,Drama,Family,English,PG,59783,1993-07-16,112.0,Free Willy,https://www.imdb.com/title/tt0106965,77698625.0,5.9
5430,,Japan,,Takeshi Kitano,Action,Crime,Drama,Japanese,R,10680,2010-06-12,109.0,Autoreiji,https://www.imdb.com/title/tt1462667,,6.8
5431,126000000,USA,162949164,Michael Bay,Action,Adventure,Romance,English,PG-13,283385,2005-07-22,136.0,The Island,https://www.imdb.com/title/tt0399201,35818913.0,6.9
5432,,USA,,Sanaa Hamri,Comedy,Drama,Romance,English,PG-13,11681,2006-02-03,99.0,Something New,https://www.imdb.com/title/tt0437777,11425894.0,6.8
5433,45000000,USA,124914842,Charles Herman-Wurmfeld,Comedy,,,English,PG-13,53876,2003-07-02,95.0,"Legally Blonde 2: Red, White & Blonde",https://www.imdb.com/title/tt0333780,90186328.0,4.7
5434,12000000,USA,,Oren Moverman,Crime,Drama,,English,R,21565,2012-02-24,108.0,Rampart,https://www.imdb.com/title/tt1640548,969239.0,5.8
5435,,USA,,Kurt Kuenne,Documentary,Biography,Crime,English,Not Rated,27908,2008-01-01,95.0,Dear Zachary: A Letter to a Son About His Father,https://www.imdb.com/title/tt1152758,,8.6
5436,150000000,USA,309979994,"Byron Howard, Chris Williams",Animation,Adventure,Comedy,English,PG,167639,2008-11-21,96.0,Bolt,https://www.imdb.com/title/tt0397892,114053579.0,6.9
5437,16000000,USA,,Rob Reiner,Comedy,Drama,Romance,English,R,170978,1989-07-21,96.0,When Harry Met Sally...,https://www.imdb.com/title/tt0098635,92823600.0,7.6
5438,,UK,,Adam Brooks,Comedy,Drama,Romance,English,PG-13,142107,2008-02-14,112.0,"Definitely, Maybe",https://www.imdb.com/title/tt0832266,31973840.0,7.2
5439,6500000,USA,1548955,Michael Mayer,Drama,Romance,,English,R,12682,2004-10-14,97.0,A Home at the End of the World,https://www.imdb.com/title/tt0359423,1029872.0,6.7
5440,12000000,USA,77063924,Tim Story,Comedy,Drama,,English,PG-13,27097,2002-09-13,102.0,Barbershop,https://www.imdb.com/title/tt0303714,75782105.0,6.3
5441,25000000,UK,229736344,Steve Bendelack,Comedy,Family,,English,G,102058,2007-08-24,90.0,Mr. Bean's Holiday,https://www.imdb.com/title/tt0453451,33302167.0,6.4
5442,40000000,USA,,Paul Weiland,Comedy,Western,,English,PG-13,16539,1994-06-10,116.0,City Slickers II: The Legend of Curly's Gold,https://www.imdb.com/title/tt0109439,43622150.0,5.5
5443,,India,,Kunal Kohli,Comedy,Drama,Romance,Hindi,Not Rated,11919,2004-05-28,142.0,Hum Tum,https://www.imdb.com/title/tt0378072,348149.0,7.0
5444,8000000,USA,,Vadim Perelman,Drama,Fantasy,Mystery,English,R,12900,2008-09-05,90.0,The Life Before Her Eyes,https://www.imdb.com/title/tt0815178,303439.0,6.4
5445,2295304,USA,,George Stevens,Drama,Romance,,English,Passed,17423,1951-10-11,122.0,A Place in the Sun,https://www.imdb.com/title/tt0043924,,7.8
5446,10000000,UK,60565292,John Landis,Comedy,Horror,,English,R,78267,1981-08-21,97.0,An American Werewolf in London,https://www.imdb.com/title/tt0082010,30565292.0,7.6
5447,8000000,USA,,John G. Avildsen,Action,Drama,Family,English,PG,152719,1984-06-22,126.0,The Karate Kid,https://www.imdb.com/title/tt0087538,90815558.0,7.2
5448,15000000,USA,64217092,Barry Levinson,Comedy,Drama,,English,R,73048,1998-01-09,97.0,Wag the Dog,https://www.imdb.com/title/tt0120885,43022524.0,7.1
5449,18000000,USA,123306987,Frank Coraci,Comedy,Music,Romance,English,PG-13,121323,1998-02-13,100.0,The Wedding Singer,https://www.imdb.com/title/tt0120888,80245725.0,6.8
5450,85000000,USA,71485043,Vincent Ward,Drama,Fantasy,Romance,English,PG-13,92939,1998-10-02,113.0,What Dreams May Come,https://www.imdb.com/title/tt0120889,55485043.0,7.0
5451,,USA,,John Jeffcoat,Comedy,Drama,Romance,English,PG-13,10589,2007-11-29,103.0,Outsourced,https://www.imdb.com/title/tt0425326,161593.0,7.0
5452,27220000,USA,,Scott Walker,Crime,Drama,Mystery,English,R,50398,2013-07-11,105.0,The Frozen Ground,https://www.imdb.com/title/tt2005374,,6.4
5453,"
Budget:£750,000
            (estimated)
",UK,,Mike Hodges,Crime,Thriller,,English,R,25100,1971-03-18,112.0,Get Carter,https://www.imdb.com/title/tt0067128,,7.5
5454,45000000,Germany,78193382,Alexander Witt,Action,Horror,Sci-Fi,English,R,170883,2004-09-10,94.0,Resident Evil: Apocalypse,https://www.imdb.com/title/tt0318627,51201453.0,6.2
5455,"
Budget:CAD 600,000
            (estimated)
",Canada,,Xavier Dolan,Drama,Romance,,French,Not Rated,23303,2010-09-29,101.0,Les amours imaginaires,https://www.imdb.com/title/tt1600524,62985.0,7.2
5456,,USA,65595485,John Badham,Action,Comedy,Crime,English,R,16307,1991-03-08,111.0,The Hard Way,https://www.imdb.com/title/tt0102004,25895485.0,6.3
5457,23000000,USA,,Simon Wincer,Action,Crime,Drama,English,R,16464,1991-08-23,98.0,Harley Davidson and the Marlboro Man,https://www.imdb.com/title/tt0102005,7434726.0,6.0
5458,30000000,USA,,Carl Franklin,Drama,,,English,R,10327,1998-09-18,127.0,One True Thing,https://www.imdb.com/title/tt0120776,23245840.0,7.0
5459,5000000,USA,,Don Roos,Comedy,,,English,R,19128,1998-05-22,105.0,The Opposite of Sex,https://www.imdb.com/title/tt0120777,5881367.0,6.5
